Timestamp,HRCH_1_LvgCondWtrTmp(°F)
29-Apr-22 12:00 AM EDT,92.6
29-Apr-22 12:15 AM EDT,94.2
29-Apr-22 12:30 AM EDT,88.3
29-Apr-22 12:45 AM EDT,92.8
29-Apr-22 1:00 AM EDT,83.4
29-Apr-22 1:15 AM EDT,120.5
29-Apr-22 1:30 AM EDT,103.2
29-Apr-22 1:45 AM EDT,110.3
29-Apr-22 2:00 AM EDT,113.1
29-Apr-22 2:15 AM EDT,94.8
29-Apr-22 2:30 AM EDT,105.4
29-Apr-22 2:45 AM EDT,92.4
29-Apr-22 3:00 AM EDT,87.0
29-Apr-22 3:15 AM EDT,91.0
29-Apr-22 3:30 AM EDT,83.6
29-Apr-22 3:45 AM EDT,85.2
29-Apr-22 4:00 AM EDT,84.3
29-Apr-22 4:15 AM EDT,90.1
29-Apr-22 4:30 AM EDT,87.9
29-Apr-22 4:45 AM EDT,88.7
29-Apr-22 5:00 AM EDT,87.0
29-Apr-22 5:15 AM EDT,89.4
29-Apr-22 5:30 AM EDT,100.9
29-Apr-22 5:45 AM EDT,84.2
29-Apr-22 6:00 AM EDT,86.7
29-Apr-22 6:15 AM EDT,97.5
29-Apr-22 6:30 AM EDT,102.5
29-Apr-22 6:45 AM EDT,104.9
29-Apr-22 7:00 AM EDT,103.8
29-Apr-22 7:15 AM EDT,102.2
29-Apr-22 7:30 AM EDT,102.9
29-Apr-22 7:45 AM EDT,111.7
29-Apr-22 8:00 AM EDT,102.2
29-Apr-22 8:15 AM EDT,100.5
29-Apr-22 8:30 AM EDT,106.7
29-Apr-22 8:45 AM EDT,96.6
29-Apr-22 9:00 AM EDT,103.2
29-Apr-22 9:15 AM EDT,111.2
29-Apr-22 9:30 AM EDT,101.8
29-Apr-22 9:45 AM EDT,108.6
29-Apr-22 10:00 AM EDT,101.1
29-Apr-22 10:15 AM EDT,108.5
29-Apr-22 10:30 AM EDT,112.4
29-Apr-22 10:45 AM EDT,109.7
29-Apr-22 11:00 AM EDT,110.6
29-Apr-22 11:15 AM EDT,114.9
29-Apr-22 11:30 AM EDT,108.5
29-Apr-22 11:45 AM EDT,103.2
29-Apr-22 12:00 PM EDT,96.2
29-Apr-22 12:15 PM EDT,104.9
29-Apr-22 12:30 PM EDT,101.6
29-Apr-22 12:45 PM EDT,95.5
29-Apr-22 1:00 PM EDT,95.1
29-Apr-22 1:15 PM EDT,101.8
29-Apr-22 1:30 PM EDT,93.0
29-Apr-22 1:45 PM EDT,97.8
29-Apr-22 2:00 PM EDT,103.1
29-Apr-22 2:15 PM EDT,124.5
29-Apr-22 2:30 PM EDT,141.9
29-Apr-22 2:45 PM EDT,116.9
29-Apr-22 3:00 PM EDT,132.0
29-Apr-22 3:15 PM EDT,109.9
29-Apr-22 3:30 PM EDT,110.4
29-Apr-22 3:45 PM EDT,110.1
29-Apr-22 4:00 PM EDT,110.6
29-Apr-22 4:15 PM EDT,110.8
29-Apr-22 4:30 PM EDT,109.0
29-Apr-22 4:45 PM EDT,109.2
29-Apr-22 5:00 PM EDT,108.8
29-Apr-22 5:15 PM EDT,105.0
29-Apr-22 5:30 PM EDT,107.9
29-Apr-22 5:45 PM EDT,108.3
29-Apr-22 6:00 PM EDT,103.8
29-Apr-22 6:15 PM EDT,107.2
29-Apr-22 6:30 PM EDT,102.5
29-Apr-22 6:45 PM EDT,104.5
29-Apr-22 7:00 PM EDT,101.8
29-Apr-22 7:15 PM EDT,103.4
29-Apr-22 7:30 PM EDT,105.0
29-Apr-22 7:45 PM EDT,105.9
29-Apr-22 8:00 PM EDT,104.5
29-Apr-22 8:15 PM EDT,130.6
29-Apr-22 8:30 PM EDT,118.4
29-Apr-22 8:45 PM EDT,134.9
29-Apr-22 9:00 PM EDT,134.9
29-Apr-22 9:15 PM EDT,128.8
29-Apr-22 9:30 PM EDT,104.3
29-Apr-22 9:45 PM EDT,96.4
29-Apr-22 10:00 PM EDT,103.6
29-Apr-22 10:15 PM EDT,89.2
29-Apr-22 10:30 PM EDT,93.0
29-Apr-22 10:45 PM EDT,86.7
29-Apr-22 11:00 PM EDT,85.6
29-Apr-22 11:15 PM EDT,85.1
29-Apr-22 11:30 PM EDT,90.5
29-Apr-22 11:45 PM EDT,88.1
30-Apr-22 12:00 AM EDT,87.2
30-Apr-22 12:15 AM EDT,91.4
30-Apr-22 12:30 AM EDT,92.4
30-Apr-22 12:45 AM EDT,85.1
30-Apr-22 1:00 AM EDT,88.5
30-Apr-22 1:15 AM EDT,83.6
30-Apr-22 1:30 AM EDT,89.0
30-Apr-22 1:45 AM EDT,82.2
30-Apr-22 2:00 AM EDT,82.5
30-Apr-22 2:15 AM EDT,89.6
30-Apr-22 2:30 AM EDT,85.1
30-Apr-22 2:45 AM EDT,88.5
30-Apr-22 3:00 AM EDT,91.7
30-Apr-22 3:15 AM EDT,89.9
30-Apr-22 3:30 AM EDT,85.6
30-Apr-22 3:45 AM EDT,90.1
30-Apr-22 4:00 AM EDT,86.9
30-Apr-22 4:15 AM EDT,91.5
30-Apr-22 4:30 AM EDT,92.4
30-Apr-22 4:45 AM EDT,105.4
30-Apr-22 5:00 AM EDT,102.2
30-Apr-22 5:15 AM EDT,112.2
30-Apr-22 5:30 AM EDT,94.4
30-Apr-22 5:45 AM EDT,108.1
30-Apr-22 6:00 AM EDT,106.5
30-Apr-22 6:15 AM EDT,90.8
30-Apr-22 6:30 AM EDT,105.6
30-Apr-22 6:45 AM EDT,94.4
30-Apr-22 7:00 AM EDT,98.0
30-Apr-22 7:15 AM EDT,99.3
30-Apr-22 7:30 AM EDT,94.2
30-Apr-22 7:45 AM EDT,104.7
30-Apr-22 8:00 AM EDT,91.7
30-Apr-22 8:15 AM EDT,103.6
30-Apr-22 8:30 AM EDT,90.8
30-Apr-22 8:45 AM EDT,104.7
30-Apr-22 9:00 AM EDT,93.7
30-Apr-22 9:15 AM EDT,107.7
30-Apr-22 9:30 AM EDT,107.0
30-Apr-22 9:45 AM EDT,107.4
30-Apr-22 10:00 AM EDT,108.1
30-Apr-22 10:15 AM EDT,107.7
30-Apr-22 10:30 AM EDT,107.2
30-Apr-22 10:45 AM EDT,106.1
30-Apr-22 11:00 AM EDT,111.5
30-Apr-22 11:15 AM EDT,111.9
30-Apr-22 11:30 AM EDT,105.4
30-Apr-22 11:45 AM EDT,109.9
30-Apr-22 12:00 PM EDT,104.7
30-Apr-22 12:15 PM EDT,109.5
30-Apr-22 12:30 PM EDT,112.2
30-Apr-22 12:45 PM EDT,112.1
30-Apr-22 1:00 PM EDT,114.0
30-Apr-22 1:15 PM EDT,116.7
30-Apr-22 1:30 PM EDT,115.1
30-Apr-22 1:45 PM EDT,113.1
30-Apr-22 2:00 PM EDT,111.7
30-Apr-22 2:15 PM EDT,118.4
30-Apr-22 2:30 PM EDT,122.3
30-Apr-22 2:45 PM EDT,134.2
30-Apr-22 3:00 PM EDT,136.4
30-Apr-22 3:15 PM EDT,133.8
30-Apr-22 3:30 PM EDT,135.3
30-Apr-22 3:45 PM EDT,136.5
30-Apr-22 4:00 PM EDT,124.5
30-Apr-22 4:15 PM EDT,125.2
30-Apr-22 4:30 PM EDT,123.0
30-Apr-22 4:45 PM EDT,132.6
30-Apr-22 5:00 PM EDT,135.6
30-Apr-22 5:15 PM EDT,136.4
30-Apr-22 5:30 PM EDT,135.6
30-Apr-22 5:45 PM EDT,134.4
30-Apr-22 6:00 PM EDT,134.2
30-Apr-22 6:15 PM EDT,135.6
30-Apr-22 6:30 PM EDT,132.2
30-Apr-22 6:45 PM EDT,116.4
30-Apr-22 7:00 PM EDT,128.1
30-Apr-22 7:15 PM EDT,127.0
30-Apr-22 7:30 PM EDT,129.3
30-Apr-22 7:45 PM EDT,112.6
30-Apr-22 8:00 PM EDT,119.3
30-Apr-22 8:15 PM EDT,109.9
30-Apr-22 8:30 PM EDT,118.0
30-Apr-22 8:45 PM EDT,109.5
30-Apr-22 9:00 PM EDT,109.2
30-Apr-22 9:15 PM EDT,103.1
30-Apr-22 9:30 PM EDT,106.8
30-Apr-22 9:45 PM EDT,103.8
30-Apr-22 10:00 PM EDT,98.0
30-Apr-22 10:15 PM EDT,96.9
30-Apr-22 10:30 PM EDT,94.1
30-Apr-22 10:45 PM EDT,97.7
30-Apr-22 11:00 PM EDT,99.1
30-Apr-22 11:15 PM EDT,109.4
30-Apr-22 11:30 PM EDT,72.3
30-Apr-22 11:45 PM EDT,87.6
01-May-22 12:00 AM EDT,102.7
01-May-22 12:15 AM EDT,105.2
01-May-22 12:30 AM EDT,89.7
01-May-22 12:45 AM EDT,94.4
01-May-22 1:00 AM EDT,83.6
01-May-22 1:15 AM EDT,85.2
01-May-22 1:30 AM EDT,91.9
01-May-22 1:45 AM EDT,85.8
01-May-22 2:00 AM EDT,83.3
01-May-22 2:15 AM EDT,82.0
01-May-22 2:30 AM EDT,83.4
01-May-22 2:45 AM EDT,81.5
01-May-22 3:00 AM EDT,88.5
01-May-22 3:15 AM EDT,85.2
01-May-22 3:30 AM EDT,89.6
01-May-22 3:45 AM EDT,82.9
01-May-22 4:00 AM EDT,83.8
01-May-22 4:15 AM EDT,81.5
01-May-22 4:30 AM EDT,83.6
01-May-22 4:45 AM EDT,85.4
01-May-22 5:00 AM EDT,80.9
01-May-22 5:15 AM EDT,79.8
01-May-22 5:30 AM EDT,87.9
01-May-22 5:45 AM EDT,84.7
01-May-22 6:00 AM EDT,82.2
01-May-22 6:15 AM EDT,94.4
01-May-22 6:30 AM EDT,102.0
01-May-22 6:45 AM EDT,110.8
01-May-22 7:00 AM EDT,100.7
01-May-22 7:15 AM EDT,106.1
01-May-22 7:30 AM EDT,101.1
01-May-22 7:45 AM EDT,107.7
01-May-22 8:00 AM EDT,98.6
01-May-22 8:15 AM EDT,107.7
01-May-22 8:30 AM EDT,107.7
01-May-22 8:45 AM EDT,103.6
01-May-22 9:00 AM EDT,109.0
01-May-22 9:15 AM EDT,104.3
01-May-22 9:30 AM EDT,111.5
01-May-22 9:45 AM EDT,112.1
01-May-22 10:00 AM EDT,111.9
01-May-22 10:15 AM EDT,111.5
01-May-22 10:30 AM EDT,109.7
01-May-22 10:45 AM EDT,117.5
01-May-22 11:00 AM EDT,135.3
01-May-22 11:15 AM EDT,134.7
01-May-22 11:30 AM EDT,134.9
01-May-22 11:45 AM EDT,125.9
01-May-22 12:00 PM EDT,136.7
01-May-22 12:15 PM EDT,137.3
01-May-22 12:30 PM EDT,127.7
01-May-22 12:45 PM EDT,133.5
01-May-22 1:00 PM EDT,137.3
01-May-22 1:15 PM EDT,138.3
01-May-22 1:30 PM EDT,135.5
01-May-22 1:45 PM EDT,139.2
01-May-22 2:00 PM EDT,135.6
01-May-22 2:15 PM EDT,122.3
01-May-22 2:30 PM EDT,126.8
01-May-22 2:45 PM EDT,137.3
01-May-22 3:00 PM EDT,134.6
01-May-22 3:15 PM EDT,122.1
01-May-22 3:30 PM EDT,125.7
01-May-22 3:45 PM EDT,120.5
01-May-22 4:00 PM EDT,123.0
01-May-22 4:15 PM EDT,117.6
01-May-22 4:30 PM EDT,109.9
01-May-22 4:45 PM EDT,109.0
01-May-22 5:00 PM EDT,105.8
01-May-22 5:15 PM EDT,100.9
01-May-22 5:30 PM EDT,98.4
01-May-22 5:45 PM EDT,96.9
01-May-22 6:00 PM EDT,106.8
01-May-22 6:15 PM EDT,106.7
01-May-22 6:30 PM EDT,105.2
01-May-22 6:45 PM EDT,102.7
01-May-22 7:00 PM EDT,110.3
01-May-22 7:15 PM EDT,105.0
01-May-22 7:30 PM EDT,114.6
01-May-22 7:45 PM EDT,104.0
01-May-22 8:00 PM EDT,110.6
01-May-22 8:15 PM EDT,104.5
01-May-22 8:30 PM EDT,106.1
01-May-22 8:45 PM EDT,106.8
01-May-22 9:00 PM EDT,111.7
01-May-22 9:15 PM EDT,82.2
01-May-22 9:30 PM EDT,106.1
01-May-22 9:45 PM EDT,117.1
01-May-22 10:00 PM EDT,96.0
01-May-22 10:15 PM EDT,104.7
01-May-22 10:30 PM EDT,92.4
01-May-22 10:45 PM EDT,92.8
01-May-22 11:00 PM EDT,90.6
01-May-22 11:15 PM EDT,97.7
01-May-22 11:30 PM EDT,89.0
01-May-22 11:45 PM EDT,99.3
02-May-22 12:00 AM EDT,88.8
02-May-22 12:15 AM EDT,91.2
02-May-22 12:30 AM EDT,93.2
02-May-22 12:45 AM EDT,89.9
02-May-22 1:00 AM EDT,93.5
02-May-22 1:15 AM EDT,86.7
02-May-22 1:30 AM EDT,90.3
02-May-22 1:45 AM EDT,91.2
02-May-22 2:00 AM EDT,88.1
02-May-22 2:15 AM EDT,97.1
02-May-22 2:30 AM EDT,84.9
02-May-22 2:45 AM EDT,96.8
02-May-22 3:00 AM EDT,87.6
02-May-22 3:15 AM EDT,90.1
02-May-22 3:30 AM EDT,90.8
02-May-22 3:45 AM EDT,93.2
02-May-22 4:00 AM EDT,92.3
02-May-22 4:15 AM EDT,86.9
02-May-22 4:30 AM EDT,89.2
02-May-22 4:45 AM EDT,87.4
02-May-22 5:00 AM EDT,87.6
02-May-22 5:15 AM EDT,91.5
02-May-22 5:30 AM EDT,89.0
02-May-22 5:45 AM EDT,89.9
02-May-22 6:00 AM EDT,99.5
02-May-22 6:15 AM EDT,97.7
02-May-22 6:30 AM EDT,111.5
02-May-22 6:45 AM EDT,108.8
02-May-22 7:00 AM EDT,111.5
02-May-22 7:15 AM EDT,104.1
02-May-22 7:30 AM EDT,113.3
02-May-22 7:45 AM EDT,111.7
02-May-22 8:00 AM EDT,116.7
02-May-22 8:15 AM EDT,110.4
02-May-22 8:30 AM EDT,115.5
02-May-22 8:45 AM EDT,116.2
02-May-22 9:00 AM EDT,113.5
02-May-22 9:15 AM EDT,113.5
02-May-22 9:30 AM EDT,108.5
02-May-22 9:45 AM EDT,117.8
02-May-22 10:00 AM EDT,117.8
02-May-22 10:15 AM EDT,116.7
02-May-22 10:30 AM EDT,115.7
02-May-22 10:45 AM EDT,116.6
02-May-22 11:00 AM EDT,116.7
02-May-22 11:15 AM EDT,119.4
02-May-22 11:30 AM EDT,117.8
02-May-22 11:45 AM EDT,119.1
02-May-22 12:00 PM EDT,126.1
02-May-22 12:15 PM EDT,126.1
02-May-22 12:30 PM EDT,118.0
02-May-22 12:45 PM EDT,107.7
02-May-22 1:00 PM EDT,116.4
02-May-22 1:15 PM EDT,113.0
02-May-22 1:30 PM EDT,108.3
02-May-22 1:45 PM EDT,121.2
02-May-22 2:00 PM EDT,121.1
02-May-22 2:15 PM EDT,129.7
02-May-22 2:30 PM EDT,128.3
02-May-22 2:45 PM EDT,119.1
02-May-22 3:00 PM EDT,113.7
02-May-22 3:15 PM EDT,104.9
02-May-22 3:30 PM EDT,125.9
02-May-22 3:45 PM EDT,105.6
02-May-22 4:00 PM EDT,122.7
02-May-22 4:15 PM EDT,102.5
02-May-22 4:30 PM EDT,108.1
02-May-22 4:45 PM EDT,103.1
02-May-22 5:00 PM EDT,106.8
02-May-22 5:15 PM EDT,102.5
02-May-22 5:30 PM EDT,126.8
02-May-22 5:45 PM EDT,108.8
02-May-22 6:00 PM EDT,107.6
02-May-22 6:15 PM EDT,96.6
